输入商标名,历史商标名,输入商标编号,历史商标编号,两个商标有共同小项？,汉字编辑距离相似度,拼音相似度,汉字包含被包含,汉字排列组合,汉字含义相近,汉字字形相似度,英文编辑距离相似度,英文包含被包含,英文排列组合,数字完全匹配,商标状态,历史商标状态,是否相似商标
永之星,永祥兴,17173450,4648153,False,0.33,0.67,0.33,0.33,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,永祥兴,17173450,4648008,False,0.33,0.67,0.33,0.33,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,永祥兴,17173450,4648010,False,0.33,0.67,0.33,0.33,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,永明行,17173450,7933671,False,0.33,0.71,0.33,0.33,0.61,0.49,0.0,0.0,0.0,0.0,1,1,1
永之星,皮之星,17173450,13649024,False,0.67,0.69,0.67,0.67,0.92,0.67,0.0,0.0,0.0,0.0,1,1,1
永之星,星之蓝,17173450,15963716,False,0.33,0.62,0.33,0.67,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,永之星,17173450,15964911,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1
永之星,励志行,17173450,15957486,False,0.0,0.69,0.0,0.0,0.05,0.35,0.0,0.0,0.0,0.0,1,1,1
永之星,小智星,17173450,16068185,False,0.33,0.69,0.33,0.33,0.63,0.52,0.0,0.0,0.0,0.0,1,1,1
永之星,永隆行,17173450,3635694,False,0.33,0.71,0.33,0.33,0.59,0.51,0.0,0.0,0.0,0.0,1,1,1
永之星,杰之星,17173450,16152096,False,0.67,0.69,0.67,0.67,0.92,0.62,0.0,0.0,0.0,0.0,1,1,1
永之星,新之星,17173450,7848840,False,0.67,0.77,0.67,0.67,0.92,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,悦之星,17173450,12569768,False,0.67,0.77,0.67,0.67,0.91,0.6,0.0,0.0,0.0,0.0,1,1,1
永之星,甬兴,17173450,16872814,False,0.0,0.69,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1,0,1
永之星,同致行,17173450,16872097,False,0.0,0.92,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,1,0,1
永之星,未之星,17173450,16867137,False,0.67,0.69,0.67,0.67,0.91,0.6,0.0,0.0,0.0,0.0,1,1,1
永之星,裕之星,17173450,3766532,False,0.67,0.77,0.67,0.67,0.9,0.62,0.0,0.0,0.0,0.0,1,1,1
